repNum,blkInstr,stimImage,BlksLoop.thisRepN,BlksLoop.thisTrialN,BlksLoop.thisN,BlksLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_12.keys,key_resp_12.rt,instrBlk0Start,instrBlk0End,instrBlk0Dur,TargetStart,TargetEnd,TargetDur,StimStart,StimEnd,StimDur,trialResp.keys,trialResp.rt,date,frameRate,expName,participant,
,,,,,,,,,,,t,28.2284700871,,,,,,,,,,,,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/bow1.png,0,0,0,0,0,0,0,0,,,28.2862250805,33.2890429497,5.00281786919,33.289055109,33.2897281647,0.000673055648804,33.2956020832,34.7940809727,1.49847888947,r,0.902806997299,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/basket1.png,0,0,0,0,0,1,1,1,,,,,,,,,34.7948429585,36.2816791534,1.48683619499,r,0.802762985229,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/crown2.png,0,0,0,0,0,2,2,2,,,,,,,,,36.2823791504,37.7697131634,1.48733401299,r,0.802764177322,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/horn2.png,0,0,0,0,0,3,3,3,,,,,,,,,37.7702729702,39.257735014,1.48746204376,r,0.802834033966,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/butterfly1.png,0,0,0,0,0,4,4,4,,,,,,,,,39.2583119869,40.7457461357,1.48743414879,r,0.903079032898,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/bow1.png,0,0,0,0,0,5,5,5,,,,,,,,,40.7462739944,42.2337720394,1.48749804497,g,0.769670963287,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/hat2.png,0,0,0,0,0,6,6,6,,,,,,,,,42.2342829704,43.7222061157,1.48792314529,r,0.836189985275,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/eggs2.png,0,0,0,0,0,7,7,7,,,,,,,,,43.7227799892,45.209815979,1.48703598976,r,0.869150161743,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
0,"Please press the right button whenever you see the 
first image repeated and the left button otherwise.",FinalStim/razor2.png,0,0,0,0,0,8,8,8,,,,,,,,,45.210337162,46.69860816,1.488270998,r,0.802757978439,2019_Oct_07_1137,29.9050153222,NBackExp,DB001,
